sex,birth_year,marital_status,religion,job_code,income,region_code
female,1974,1,1,521.0,192.5,1
male,1975,1,1,441.0,165.0,1
male,1968,1,2,873.0,375.0,1
female,1971,1,2,429.0,150.0,1
female,1997,0,2,,,1
male,1969,1,2,213.0,760.0,1
female,1970,1,2,,,1
female,2002,0,2,,,1
male,1958,1,2,863.0,250.0,1
female,1958,1,2,,,1
female,1960,4,2,521.0,,1
female,1984,5,2,,,1
male,1957,1,2,521.0,,5
female,1960,1,2,521.0,,5
female,1995,5,2,320.0,258.3,5
female,1995,5,2,392.0,155.5,1
male,1968,1,2,842.0,,1
female,1971,1,1,421.0,56.0,1
male,1998,0,2,,,1
male,2001,0,2,,,1
male,1952,1,1,141.0,295.0,1
female,1952,1,1,951.0,,1
female,1978,1,1,252.0,321.0,1
female,1983,5,1,281.0,,1
male,1975,1,1,,,1
male,2008,0,1,,,1
female,2010,0,1,,,1
male,1953,1,2,,,1
female,1960,1,1,442.0,,1
female,1980,1,1,,,1
female,1983,1,1,,,2
male,1979,1,1,239.0,483.0,1
female,2010,0,1,,,1
male,1977,1,2,311.0,210.0,2
male,1958,1,2,741.0,,1
female,1965,1,2,952.0,,1
female,1993,5,2,,,1
female,1995,5,2,,,1
female,1932,2,1,,,1
male,1965,3,2,910.0,,1
male,1939,1,2,941.0,93.1,1
female,1947,1,2,941.0,93.1,1
female,1945,2,1,421.0,20.0,1
